instance_id,method,orders,couriers,distance_m,distance_km,objective_value,runtime_seconds,synthetic_sla_late_rate,total_lateness_minutes,workload_std,replans,status
jl_r53_0810,dynamic_rolling_alns,142,4,159937.0612987705,159.93706129877052,160102.8925382883,0.47345564700117393,0.0,0.0,1.6583123951777,64.0,ok
jl_r53_0810,greedy_regret2_offline,142,4,89242.6787572443,89.2426787572443,2225523.9718062975,0.13552998600061983,0.7253521126760564,35572.445647280634,19.345542122153102,,ok
jl_r53_0810,ortools_cp_sat_decomposed,142,4,133670.73831362667,133.67073831362669,408099.89638314623,4.945299475999491,0.15492957746478872,4572.985967825326,0.5,,optimal;route_fallbacks=0/4
jl_r53_0810,pyvrp_static_distance,142,4,49238.33208750974,49.23833208750974,2098891.245242058,0.12601709599948663,0.7394366197183099,34137.98416646908,13.738631664034086,,ok
jl_r53_0810,alns_offline,142,4,53235.589551879595,53.23558955187959,1835712.1211417532,3.5743665390000388,0.6549295774647887,29688.064092428096,11.926860441876563,,ok
jl_r129_0810,dynamic_online_greedy,129,3,212462.28763696828,212.46228763696828,212543.93729506104,0.0026604529994074255,0.0,0.0,0.816496580927726,,ok
jl_r129_0810,dynamic_rolling_alns,129,3,150089.29420746883,150.08929420746884,154763.06640021814,0.5338776770004188,0.03875968992248062,70.69538021425736,4.320493798938574,62.0,ok
jl_r129_0810,greedy_regret2_offline,129,3,53283.50192178448,53.283501921784485,1656646.121295464,0.12257126699842047,0.6356589147286822,26696.463629981285,15.748015748023622,,ok
jl_r129_0810,ortools_cp_sat_decomposed,129,3,111476.17681953582,111.47617681953582,609038.9123271046,4.92667229700055,0.3178294573643411,8292.71225845948,0.0,,optimal;route_fallbacks=0/3
jl_r129_0810,pyvrp_static_distance,129,3,40356.05911436334,40.35605911436334,1140278.477730904,0.11957113599964941,0.5813953488372093,18305.478014524833,15.937377450509228,,ok
jl_r129_0810,alns_offline,129,3,43964.34094077798,43.96434094077799,1363686.467779729,2.8954268760007835,0.5968992248062015,21975.047290473438,12.192894105447921,,ok
jl_r129_0812,dynamic_online_greedy,126,3,199560.54092250127,199.56054092250127,243091.40597412284,0.0021357080004236195,0.2857142857142857,717.9376499175897,4.546060565661952,,ok
jl_r129_0812,dynamic_rolling_alns,126,3,84143.50469667777,84.14350469667778,120398.12270449127,1.6247117660004733,0.1984126984126984,601.5219781937991,1.632993161855452,53.0,ok
jl_r129_0812,greedy_regret2_offline,126,3,58492.084672804114,58.49208467280411,1203635.4562020085,0.12354612200033444,0.49206349206349204,19058.95222814639,16.06237840420901,,ok
jl_r129_0812,ortools_cp_sat_decomposed,126,3,65287.794149661044,65.28779414966104,714266.8670639392,5.166699125999003,0.4444444444444444,10816.317881904635,0.0,,optimal;route_fallbacks=0/3
jl_r129_0812,pyvrp_static_distance,126,3,44654.77249299259,44.65477249299259,749834.0907067157,0.16755052100052126,0.35714285714285715,11726.218006221703,16.06237840420901,,ok
jl_r129_0812,alns_offline,126,3,45705.99323854386,45.70599323854386,277356.547115738,3.7339781259997835,0.3492063492063492,3834.0719339462203,16.06237840420901,,ok
jl_r129_0811,dynamic_online_greedy,123,3,208917.2534634922,208.91725346349222,209325.50175395608,0.003549093999026809,0.0,0.0,4.08248290463863,,ok
jl_r129_0811,dynamic_rolling_alns,123,3,110044.81077384551,110.04481077384551,110327.65348632014,1.0617126309989544,0.0,0.0,2.8284271247461903,58.0,ok
jl_r129_0811,greedy_regret2_offline,123,3,52842.09213171482,52.842092131714814,883679.3691243812,0.1094792879994202,0.6260162601626016,13822.529861038709,14.854853303438128,,ok
jl_r129_0811,ortools_cp_sat_decomposed,123,3,128823.81839659449,128.8238183965945,247076.6932568482,4.999287165001078,0.13008130081300814,1970.8812476708952,0.0,,optimal;route_fallbacks=0/3
jl_r129_0811,pyvrp_static_distance,123,3,39026.862393888434,39.026862393888436,984235.0699595349,0.2392536379993544,0.6666666666666666,15738.316590875236,9.092121131323903,,ok
jl_r129_0811,alns_offline,123,3,41900.07873293107,41.90007873293107,763939.8307888644,5.028513031998955,0.6504065040650406,12021.900567011624,7.2571803523590805,,ok
jl_r165_0619,dynamic_online_greedy,52,3,127230.37778484749,127.23037778484749,127560.3609494012,0.0011403070002415916,0.0,0.0,3.299831645537222,,ok
jl_r165_0619,dynamic_rolling_alns,52,3,127036.04593544759,127.03604593544759,127413.16955208042,0.13040922400068666,0.0,0.0,3.7712361663282534,30.0,ok
jl_r165_0619,greedy_regret2_offline,52,3,51509.92283632783,51.50992283632783,233972.82791211648,0.012185642999611446,0.46153846153846156,3030.048979111353,6.599663291074443,,ok
jl_r165_0619,ortools_cp_sat_decomposed,52,3,76027.72362286139,76.02772362286139,101163.27405882058,3.33336822199999,0.019230769230769232,418.1401663980015,0.4714045207910317,,optimal;route_fallbacks=0/3
jl_r165_0619,pyvrp_static_distance,52,3,47266.472598781445,47.26647259878145,599135.9123074571,0.3047277509995183,0.6346153846153846,9189.075097506802,5.2493385826745405,,ok
jl_r165_0619,alns_offline,52,3,49264.03686681126,49.26403686681126,494842.9219967289,0.5633734059993003,0.4423076923076923,7416.756612979691,5.734883511361751,,ok
jl_r165_0618,dynamic_online_greedy,50,3,118040.46160296109,118.04046160296109,119804.95064000356,0.0012287210010981653,0.02,23.74257338004924,3.39934634239519,,ok
jl_r165_0618,dynamic_rolling_alns,50,3,109163.81278095435,109.16381278095434,111421.16172844924,0.1343275379986153,0.02,32.84341286544659,2.8674417556808756,31.0,ok
jl_r165_0618,greedy_regret2_offline,50,3,80594.72393252687,80.59472393252688,743192.9215678981,0.008893508000255679,0.68,11023.661438889894,11.785113019775793,,ok
jl_r165_0618,ortools_cp_sat_decomposed,50,3,107076.23806155466,107.07623806155466,107123.37851363375,0.8202220509992912,0.0,0.0,0.4714045207910317,,optimal;route_fallbacks=0/3
jl_r165_0618,pyvrp_static_distance,50,3,70158.51714806622,70.15851714806622,630967.6108374434,0.11556495900003938,0.62,9327.176373123328,11.785113019775793,,ok
jl_r165_0618,alns_offline,50,3,77450.13347955095,77.45013347955094,687287.6361666238,0.5422694099997898,0.68,10144.31652308492,11.785113019775793,,ok
jl_r165_0602,dynamic_online_greedy,48,3,60153.98090760802,60.15398090760802,60448.37293648561,0.0008302000005642185,0.0,0.0,2.943920288775949,,ok
jl_r165_0602,dynamic_rolling_alns,48,3,41876.925882543,41.876925882543,42092.95057248993,0.23577404800016666,0.0,0.0,2.160246899469287,25.0,ok
jl_r165_0602,greedy_regret2_offline,48,3,18067.366033335307,18.067366033335308,520458.0915608014,0.028740017998643452,0.625,8356.62357609582,9.93310961716756,,ok
jl_r165_0602,ortools_cp_sat_decomposed,48,3,21209.789976429784,21.209789976429782,22203.10093814654,0.9142723220011248,0.0,0.0,9.93310961716756,,optimal;route_fallbacks=0/3
jl_r165_0602,pyvrp_static_distance,48,3,15602.557096273576,15.602557096273577,468893.693667416,0.07746825399954105,0.6041666666666666,7538.297093490428,9.93310961716756,,ok
jl_r165_0602,alns_offline,48,3,16361.114405193892,16.36111440519389,438059.11968081794,0.24444320899965533,0.6041666666666666,7011.744905231788,9.93310961716756,,ok
